language,form,measure,age,identity,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
English (American),WG,produced,8,CDI_manual_norms,0,0,0,0,0,1,2,3,5,16
English (American),WG,produced,9,CDI_manual_norms,0,0,0,0,0,2,3,5,8,26
English (American),WG,produced,10,CDI_manual_norms,0,0,0,0,1,3,5,7,12,44
English (American),WG,produced,11,CDI_manual_norms,0,0,0,1,2,4,7,11,19,72
English (American),WG,produced,12,CDI_manual_norms,0,0,1,1,3,7,11,18,29,111
English (American),WG,produced,13,CDI_manual_norms,0,1,2,3,6,12,18,27,44,160
English (American),WG,produced,14,CDI_manual_norms,1,2,4,7,11,19,27,40,66,216
English (American),WG,produced,15,CDI_manual_norms,2,6,10,14,20,30,41,59,95,268
English (American),WG,produced,16,CDI_manual_norms,4,13,20,31,37,47,60,84,132,312
English (American),WG,produced,17,CDI_manual_norms,10,30,42,60,64,72,86,117,176,344
English (American),WG,produced,18,CDI_manual_norms,18,56,66,71,94,105,120,156,221,365
